"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"SFB2" "MATCH" "1" "SFB2" "S. cerevisiae" "Sed Five Binding" "2631" "YNL049C" "S000004994" "ORF"
"SVP26" "MATCH" "1" "SVP26" "S. cerevisiae" "Sed5 Vesicle Protein" "687" "YHR181W" "S000001224" "ORF"
"ALE1" "MATCH" "1" "ALE1" "S. cerevisiae" "Acyltransferase for Lyso-phosphatidylEthanolamine" "1860" "YOR175C" "S000005701" "ORF"
"LRO1" "MATCH" "1" "LRO1" "S. cerevisiae" "Lecithin cholesterol acyl transferase Related Open reading frame" "1986" "YNR008W" "S000005291" "ORF"
"APM3" "MATCH" "1" "APM3" "S. cerevisiae" "clathrin Adaptor Protein complex Medium chain" "1452" "YBR288C" "S000000492" "ORF"
"OSH2" "MATCH" "1" "OSH2" "S. cerevisiae" "OxySterol binding protein Homolog" "3852" "YDL019C" "S000002177" "ORF"
"YNL146W" "MATCH" "1" "" "S. cerevisiae" "" "303" "YNL146W" "S000005090" "ORF"
"IZH1" "MATCH" "1" "IZH1" "S. cerevisiae" "Implicated in Zinc Homeostasis" "951" "YDR492W" "S000002900" "ORF"
"TMN3" "MATCH" "1" "TMN3" "S. cerevisiae" "TransMembrane Nine" "2121" "YER113C" "S000000915" "ORF"
"YCK1" "MATCH" "1" "YCK1" "S. cerevisiae" "Yeast Casein Kinase I homolog" "1617" "YHR135C" "S000001177" "ORF"
"ERD2" "MATCH" "1" "ERD2" "S. cerevisiae" "Endoplasmic reticulum Retention Defective" "757" "YBL040C" "S000000136" "ORF"
"VPS45" "MATCH" "1" "VPS45" "S. cerevisiae" "Vacuolar Protein Sorting" "1734" "YGL095C" "S000003063" "ORF"
"HUA2" "MATCH" "1" "HUA2" "S. cerevisiae" "" "732" "YOR284W" "S000005810" "ORF"
"TOR1" "MATCH" "1" "TOR1" "S. cerevisiae" "Target Of Rapamycin" "7413" "YJR066W" "S000003827" "ORF"
"BET3" "MATCH" "1" "BET3" "S. cerevisiae" "Blocked Early in Transport" "582" "YKR068C" "S000001776" "ORF"
"GTB1" "MATCH" "1" "GTB1" "S. cerevisiae" "Glucosidase Two Beta-subunit" "2109" "YDR221W" "S000002629" "ORF"
"IZH3" "MATCH" "1" "IZH3" "S. cerevisiae" "Implicated in Zinc Homeostasis" "1632" "YLR023C" "S000004013" "ORF"
"IZH4" "MATCH" "1" "IZH4" "S. cerevisiae" "Implicated in Zinc Homeostasis" "939" "YOL101C" "S000005461" "ORF"
"UBX2" "MATCH" "1" "UBX2" "S. cerevisiae" "UBiquitin regulatory X" "1755" "YML013W" "S000004475" "ORF"
"SEC66" "MATCH" "1" "SEC66" "S. cerevisiae" "SECretory" "621" "YBR171W" "S000000375" "ORF"
"SEC7" "MATCH" "1" "SEC7" "S. cerevisiae" "SECretory" "6030" "YDR170C" "S000002577" "ORF"
"SEC65" "MATCH" "1" "SEC65" "S. cerevisiae" "SECretory" "822" "YML105C" "S000004573" "ORF"
"PHO80" "MATCH" "1" "PHO80" "S. cerevisiae" "PHOsphate metabolism" "882" "YOL001W" "S000005361" "ORF"
"LST8" "MATCH" "1" "LST8" "S. cerevisiae" "Lethal with Sec Thirteen" "912" "YNL006W" "S000004951" "ORF"
"FAB1" "MATCH" "1" "FAB1" "S. cerevisiae" "Forms Aploid and Binucleate cells" "6837" "YFR019W" "S000001915" "ORF"
"UBX7" "MATCH" "1" "UBX7" "S. cerevisiae" "UBiquitin regulatory X" "1311" "YBR273C" "S000000477" "ORF"
"UBX3" "MATCH" "1" "UBX3" "S. cerevisiae" "UBiquitin regulatory X" "1368" "YDL091C" "S000002249" "ORF"
"CDC21" "MATCH" "1" "CDC21" "S. cerevisiae" "Cell Division Cycle" "915" "YOR074C" "S000005600" "ORF"
"PHS1" "MATCH" "1" "PHS1" "S. cerevisiae" "PTPLA Homolog involved in Sphingolipid biosynthesis 1" "654" "YJL097W" "S000003633" "ORF"
"COS10" "MATCH" "1" "COS10" "S. cerevisiae" "COnserved Sequence" "1125" "YNR075W" "S000005358" "ORF"
"DSL1" "MATCH" "1" "DSL1" "S. cerevisiae" "Dependence on SLy1-20" "2265" "YNL258C" "S000005202" "ORF"
"RSB1" "MATCH" "1" "RSB1" "S. cerevisiae" "Resistance to Sphingoid long-chain Base" "1065" "YOR049C" "S000005575" "ORF"
"ERG1" "MATCH" "1" "ERG1" "S. cerevisiae" "ERGosterol biosynthesis" "1491" "YGR175C" "S000003407" "ORF"
"ERG2" "MATCH" "1" "ERG2" "S. cerevisiae" "ERGosterol biosynthesis" "669" "YMR202W" "S000004815" "ORF"
"ERG3" "MATCH" "1" "ERG3" "S. cerevisiae" "ERGosterol biosynthesis" "1098" "YLR056W" "S000004046" "ORF"
"ERG4" "MATCH" "1" "ERG4" "S. cerevisiae" "ERGosterol biosynthesis" "1422" "YGL012W" "S000002980" "ORF"
"ERG5" "MATCH" "1" "ERG5" "S. cerevisiae" "ERGosterol biosynthesis" "1617" "YMR015C" "S000004617" "ORF"
"PHO86" "MATCH" "1" "PHO86" "S. cerevisiae" "PHOsphate metabolism" "936" "YJL117W" "S000003653" "ORF"
"ERG6" "MATCH" "1" "ERG6" "S. cerevisiae" "ERGosterol biosynthesis" "1152" "YML008C" "S000004467" "ORF"
"SEC62" "MATCH" "1" "SEC62" "S. cerevisiae" "SECretory" "825" "YPL094C" "S000006015" "ORF"
"SIL1" "MATCH" "1" "SIL1" "S. cerevisiae" "Suppressor of the Ire1/Lhs1 double mutant" "1266" "YOL031C" "S000005391" "ORF"
"PHO85" "MATCH" "1" "PHO85" "S. cerevisiae" "PHOsphate metabolism" "1020" "YPL031C" "S000005952" "ORF"
"ERG7" "MATCH" "1" "ERG7" "S. cerevisiae" "ERGosterol biosynthesis" "2196" "YHR072W" "S000001114" "ORF"
"SEC63" "MATCH" "1" "SEC63" "S. cerevisiae" "SECretory" "1992" "YOR254C" "S000005780" "ORF"
"ERG9" "MATCH" "1" "ERG9" "S. cerevisiae" "ERGosterol biosynthesis" "1335" "YHR190W" "S000001233" "ORF"
"YPR148C" "MATCH" "1" "" "S. cerevisiae" "" "1308" "YPR148C" "S000006352" "ORF"
"COG8" "MATCH" "1" "COG8" "S. cerevisiae" "Conserved Oligomeric Golgi complex" "1824" "YML071C" "S000004536" "ORF"
"ALG8" "MATCH" "1" "ALG8" "S. cerevisiae" "Asparagine-Linked Glycosylation" "1734" "YOR067C" "S000005593" "ORF"
"ALG9" "MATCH" "1" "ALG9" "S. cerevisiae" "Asparagine-Linked Glycosylation" "1668" "YNL219C" "S000005163" "ORF"
"YPR003C" "MATCH" "1" "" "S. cerevisiae" "" "2265" "YPR003C" "S000006207" "ORF"
"COG7" "MATCH" "1" "COG7" "S. cerevisiae" "Conserved Oligomeric Golgi complex" "840" "YGL005C" "S000002973" "ORF"
"COG6" "MATCH" "1" "COG6" "S. cerevisiae" "Conserved Oligomeric Golgi complex" "2520" "YNL041C" "S000004986" "ORF"
"ALG6" "MATCH" "1" "ALG6" "S. cerevisiae" "Asparagine-Linked Glycosylation" "1635" "YOR002W" "S000005528" "ORF"
"COG5" "MATCH" "1" "COG5" "S. cerevisiae" "Conserved Oligomeric Golgi complex" "1212" "YNL051W" "S000004996" "ORF"
"PHO91" "MATCH" "1" "PHO91" "S. cerevisiae" "PHOsphate metabolism" "2685" "YNR013C" "S000005296" "ORF"
"COG4" "MATCH" "1" "COG4" "S. cerevisiae" "Conserved Oligomeric Golgi complex" "2586" "YPR105C" "S000006309" "ORF"
"PHO90" "MATCH" "1" "PHO90" "S. cerevisiae" "PHOsphate metabolism" "2646" "YJL198W" "S000003734" "ORF"
"ALG5" "MATCH" "1" "ALG5" "S. cerevisiae" "Asparagine-Linked Glycosylation" "1005" "YPL227C" "S000006148" "ORF"
"COG3" "MATCH" "1" "COG3" "S. cerevisiae" "Conserved Oligomeric Golgi complex" "2406" "YER157W" "S000000959" "ORF"
"GEF1" "MATCH" "1" "GEF1" "S. cerevisiae" "Glycerol Ethanol, Ferric requiring" "2340" "YJR040W" "S000003801" "ORF"
"CNE1" "MATCH" "1" "CNE1" "S. cerevisiae" "CalNExin and calreticulin homolog" "1509" "YAL058W" "S000000054" "ORF"
"COG2" "MATCH" "1" "COG2" "S. cerevisiae" "Conserved Oligomeric Golgi complex" "789" "YGR120C" "S000003352" "ORF"
"NCE102" "MATCH" "1" "NCE102" "S. cerevisiae" "NonClassical Export" "522" "YPR149W" "S000006353" "ORF"
"ALG3" "MATCH" "1" "ALG3" "S. cerevisiae" "Asparagine Linked Glycosylation" "1377" "YBL082C" "S000000178" "ORF"
"COG1" "MATCH" "1" "COG1" "S. cerevisiae" "Conserved Oligomeric Golgi complex" "1254" "YGL223C" "S000003191" "ORF"
"FAA1" "MATCH" "1" "FAA1" "S. cerevisiae" "Fatty Acid Activation" "2103" "YOR317W" "S000005844" "ORF"
"ALG1" "MATCH" "1" "ALG1" "S. cerevisiae" "Asparagine-Linked Glycosylation" "1350" "YBR110W" "S000000314" "ORF"
"PEX34" "MATCH" "1" "PEX34" "S. cerevisiae" "PEroXin" "435" "YCL056C" "S000000561" "ORF"
"ERF2" "MATCH" "1" "ERF2" "S. cerevisiae" "Effect on Ras Function" "1080" "YLR246W" "S000004236" "ORF"
"DFR1" "MATCH" "1" "DFR1" "S. cerevisiae" "DihydroFolate Reductase" "636" "YOR236W" "S000005762" "ORF"
"YET1" "MATCH" "1" "YET1" "S. cerevisiae" "Yeast Endoplasmic reticulum Transmembrane protein" "621" "YKL065C" "S000001548" "ORF"
"NTR2" "MATCH" "1" "NTR2" "S. cerevisiae" "NineTeen complex Related protein" "969" "YKR022C" "S000001730" "ORF"
"YET3" "MATCH" "1" "YET3" "S. cerevisiae" "Yeast Endoplasmic reticulum Transmembrane protein" "612" "YDL072C" "S000002230" "ORF"
"LPP1" "MATCH" "1" "LPP1" "S. cerevisiae" "Lipid Phosphate Phosphatase" "825" "YDR503C" "S000002911" "ORF"
"NNF2" "MATCH" "1" "NNF2" "S. cerevisiae" "" "2811" "YGR089W" "S000003321" "ORF"
"RTF1" "MATCH" "1" "RTF1" "S. cerevisiae" "Restores TBP Function" "1677" "YGL244W" "S000003213" "ORF"
"CTR2" "MATCH" "1" "CTR2" "S. cerevisiae" "Copper TRansport" "570" "YHR175W" "S000001218" "ORF"
"TRS23" "MATCH" "1" "TRS23" "S. cerevisiae" "TRapp Subunit" "660" "YDR246W" "S000002654" "ORF"
"ATX2" "MATCH" "1" "ATX2" "S. cerevisiae" "AnTioXidant" "942" "YOR079C" "S000005605" "ORF"
"VPS4" "MATCH" "1" "VPS4" "S. cerevisiae" "Vacuolar Protein Sorting" "1314" "YPR173C" "S000006377" "ORF"
"TRS20" "MATCH" "1" "TRS20" "S. cerevisiae" "TRapp Subunit" "528" "YBR254C" "S000000458" "ORF"
"TUB2" "MATCH" "1" "TUB2" "S. cerevisiae" "TUBulin" "1374" "YFL037W" "S000001857" "ORF"
"TUB1" "MATCH" "1" "TUB1" "S. cerevisiae" "TUBulin" "1460" "YML085C" "S000004550" "ORF"
"RCE1" "MATCH" "1" "RCE1" "S. cerevisiae" "Ras and a-factor Converting Enzyme" "948" "YMR274C" "S000004887" "ORF"
"EHT1" "MATCH" "1" "EHT1" "S. cerevisiae" "Ethanol Hexanoyl Transferase" "1356" "YBR177C" "S000000381" "ORF"
"NUS1" "MATCH" "1" "NUS1" "S. cerevisiae" "Nuclear Undecaprenyl pyrophosphate Synthase" "1128" "YDL193W" "S000002352" "ORF"
"YNL194C" "MATCH" "1" "" "S. cerevisiae" "" "906" "YNL194C" "S000005138" "ORF"
"GIP3" "MATCH" "1" "GIP3" "S. cerevisiae" "Glc7 Interacting Protein" "3831" "YPL137C" "S000006058" "ORF"
"SED4" "MATCH" "1" "SED4" "S. cerevisiae" "Suppressor of Erd2 Deletion" "3198" "YCR067C" "S000000663" "ORF"
"KAP95" "MATCH" "1" "KAP95" "S. cerevisiae" "KAryoPherin" "2586" "YLR347C" "S000004339" "ORF"
"SWH1" "MATCH" "1" "SWH1" "S. cerevisiae" "" "3567" "YAR042W" "S000000081" "ORF"
"YND1" "MATCH" "1" "YND1" "S. cerevisiae" "Yeast Nucleoside Diphosphatase" "1893" "YER005W" "S000000807" "ORF"
"YDL121C" "MATCH" "1" "EXP1" "S. cerevisiae" "ER eXport of Pma1" "450" "YDL121C" "S000002279" "ORF"
"BST1" "MATCH" "1" "BST1" "S. cerevisiae" "Bypass of Sec Thirteen" "3090" "YFL025C" "S000001869" "ORF"
"GYP1" "MATCH" "1" "GYP1" "S. cerevisiae" "Gtpase-activating protein for YPt1p" "1914" "YOR070C" "S000005596" "ORF"
"TRS33" "MATCH" "1" "TRS33" "S. cerevisiae" "TRapp Subunit" "807" "YOR115C" "S000005641" "ORF"
"ERV41" "MATCH" "1" "ERV41" "S. cerevisiae" "ER Vesicle" "1152" "YML067C" "S000004532" "ORF"
"YPR114W" "MATCH" "1" "" "S. cerevisiae" "" "948" "YPR114W" "S000006318" "ORF"
"ERV46" "MATCH" "1" "ERV46" "S. cerevisiae" "ER Vesicle" "1248" "YAL042W" "S000000040" "ORF"
"SEC72" "MATCH" "1" "SEC72" "S. cerevisiae" "SECretory" "582" "YLR292C" "S000004283" "ORF"
"DDP1" "MATCH" "1" "DDP1" "S. cerevisiae" "Diadenosine and Diphosphoinositol Polyphosphate phosphohydrolase" "567" "YOR163W" "S000005689" "ORF"
"DER1" "MATCH" "1" "DER1" "S. cerevisiae" "Degradation in the Endoplasmic Reticulum" "636" "YBR201W" "S000000405" "ORF"
"SEC22" "MATCH" "1" "SEC22" "S. cerevisiae" "SECretory" "645" "YLR268W" "S000004258" "ORF"
"MPO1" "MATCH" "1" "MPO1" "S. cerevisiae" "Metabolism of PHS to Odd-numbered fatty acids" "525" "YGL010W" "S000002978" "ORF"
"ORM1" "MATCH" "1" "ORM1" "S. cerevisiae" "" "669" "YGR038W" "S000003270" "ORF"
"SEC24" "MATCH" "1" "SEC24" "S. cerevisiae" "SECretory" "2781" "YIL109C" "S000001371" "ORF"
"HIP1" "MATCH" "1" "HIP1" "S. cerevisiae" "HIstidine Permease" "1812" "YGR191W" "S000003423" "ORF"
"ECM3" "MATCH" "1" "ECM3" "S. cerevisiae" "ExtraCellular Mutant" "1842" "YOR092W" "S000005618" "ORF"
"SEC28" "MATCH" "1" "SEC28" "S. cerevisiae" "SECretory" "891" "YIL076W" "S000001338" "ORF"
"SEC27" "MATCH" "1" "SEC27" "S. cerevisiae" "SECretory" "2870" "YGL137W" "S000003105" "ORF"
"YPK9" "MATCH" "1" "YPK9" "S. cerevisiae" "Yeast PARK9" "4419" "YOR291W" "S000005817" "ORF"
"ORM2" "MATCH" "1" "ORM2" "S. cerevisiae" "" "651" "YLR350W" "S000004342" "ORF"
"OPI3" "MATCH" "1" "OPI3" "S. cerevisiae" "OverProducer of Inositol" "621" "YJR073C" "S000003834" "ORF"
"YSR3" "MATCH" "1" "YSR3" "S. cerevisiae" "Yeast Sphingolipid Resistance" "1215" "YKR053C" "S000001761" "ORF"
"ARV1" "MATCH" "1" "ARV1" "S. cerevisiae" "ARE2 Required for Viability" "966" "YLR242C" "S000004232" "ORF"
"EGT2" "MATCH" "1" "EGT2" "S. cerevisiae" "Early G1 Transcript" "3126" "YNL327W" "S000005271" "ORF"
"SEC11" "MATCH" "1" "SEC11" "S. cerevisiae" "SECretory" "504" "YIR022W" "S000001461" "ORF"
"YMD8" "MATCH" "1" "YMD8" "S. cerevisiae" "" "1329" "YML038C" "S000004502" "ORF"
"CBR1" "MATCH" "1" "CBR1" "S. cerevisiae" "Cytochrome b Reductase" "855" "YIL043C" "S000001305" "ORF"
"ERV29" "MATCH" "1" "ERV29" "S. cerevisiae" "ER Vesicle" "933" "YGR284C" "S000003516" "ORF"
"TDA2" "MATCH" "1" "TDA2" "S. cerevisiae" "Topoisomerase I Damage Affected" "381" "YER071C" "S000000873" "ORF"
"SEC16" "MATCH" "1" "SEC16" "S. cerevisiae" "SECretory" "6588" "YPL085W" "S000006006" "ORF"
"SEC18" "MATCH" "1" "SEC18" "S. cerevisiae" "SECretory" "2277" "YBR080C" "S000000284" "ORF"
"GPI17" "MATCH" "1" "GPI17" "S. cerevisiae" "GlycosylPhosphatidylInositol anchor biosynthesis" "1605" "YDR434W" "S000002842" "ORF"
"GPI14" "MATCH" "1" "GPI14" "S. cerevisiae" "GlycosylPhosphatidylInositol anchor biosynthesis" "1212" "YJR013W" "S000003774" "ORF"
"SPT23" "MATCH" "1" "SPT23" "S. cerevisiae" "SuPpressor of Ty" "3249" "YKL020C" "S000001503" "ORF"
"APS3" "MATCH" "1" "APS3" "S. cerevisiae" "clathrin Associated Protein complex Small subunit" "662" "YJL024C" "S000003561" "ORF"
"PEP1" "MATCH" "1" "PEP1" "S. cerevisiae" "carboxyPEPtidase Y-deficient" "4740" "YBL017C" "S000000113" "ORF"
"RBD2" "MATCH" "1" "RBD2" "S. cerevisiae" "" "789" "YPL246C" "S000006167" "ORF"
"ERJ5" "MATCH" "1" "ERJ5" "S. cerevisiae" "Endoplasmic Reticulum located J-protein" "888" "YFR041C" "S000001937" "ORF"
"GSF2" "MATCH" "1" "GSF2" "S. cerevisiae" "Glucose Signaling Factor" "1212" "YML048W" "S000004511" "ORF"
"TED1" "MATCH" "1" "TED1" "S. cerevisiae" "Trafficking of Emp24p/Erv25p-dependent cargo Disrupted" "1422" "YIL039W" "S000001301" "ORF"
"ERV25" "MATCH" "1" "ERV25" "S. cerevisiae" "ER Vesicle" "636" "YML012W" "S000004473" "ORF"
"YCT1" "MATCH" "1" "YCT1" "S. cerevisiae" "Yeast Cysteine Transporter" "1596" "YLL055W" "S000003978" "ORF"
"DPL1" "MATCH" "1" "DPL1" "S. cerevisiae" "Dihydrosphingosine Phosphate Lyase" "1770" "YDR294C" "S000002702" "ORF"
"HRD1" "MATCH" "1" "HRD1" "S. cerevisiae" "HMG-coA Reductase Degradation" "1656" "YOL013C" "S000005373" "ORF"
"EMC1" "MATCH" "1" "EMC1" "S. cerevisiae" "ER Membrane protein Complex" "2283" "YCL045C" "S000000550" "ORF"
"EMC2" "MATCH" "1" "EMC2" "S. cerevisiae" "ER Membrane protein Complex" "879" "YJR088C" "S000003848" "ORF"
"HRD3" "MATCH" "1" "HRD3" "S. cerevisiae" "HMG-coA Reductase Degradation" "2502" "YLR207W" "S000004197" "ORF"
"EMC4" "MATCH" "1" "EMC4" "S. cerevisiae" "ER Membrane protein Complex" "573" "YGL231C" "S000003200" "ORF"
"EMP46" "MATCH" "1" "EMP46" "S. cerevisiae" "" "1335" "YLR080W" "S000004070" "ORF"
"EMC5" "MATCH" "1" "EMC5" "S. cerevisiae" "ER Membrane protein Complex" "426" "YIL027C" "S000001289" "ORF"
"EMC6" "MATCH" "1" "EMC6" "S. cerevisiae" "ER Membrane protein Complex" "327" "YLL014W" "S000003937" "ORF"
"EMP47" "MATCH" "1" "EMP47" "S. cerevisiae" "" "1338" "YFL048C" "S000001846" "ORF"
"ERV14" "MATCH" "1" "ERV14" "S. cerevisiae" "ER Vesicle" "417" "YGL054C" "S000003022" "ORF"
"MON2" "MATCH" "1" "MON2" "S. cerevisiae" "MONensin sensitivity" "4911" "YNL297C" "S000005241" "ORF"
"MNL1" "MATCH" "1" "MNL1" "S. cerevisiae" "MaNnosidase-Like protein" "2391" "YHR204W" "S000001247" "ORF"
"SEC39" "MATCH" "1" "SEC39" "S. cerevisiae" "SECretory" "2130" "YLR440C" "S000004432" "ORF"
"PMA1" "MATCH" "1" "PMA1" "S. cerevisiae" "Plasma Membrane ATPase" "2757" "YGL008C" "S000002976" "ORF"
"YHR045W" "MATCH" "1" "" "S. cerevisiae" "" "1683" "YHR045W" "S000001087" "ORF"
"RGP1" "MATCH" "1" "RGP1" "S. cerevisiae" "Reduced Growth Phenotype" "1992" "YDR137W" "S000002544" "ORF"
"PER1" "MATCH" "1" "PER1" "S. cerevisiae" "protein Processing in the ER" "1074" "YCR044C" "S000000640" "ORF"
"ERG29" "MATCH" "1" "ERG29" "S. cerevisiae" "ERGosterol biosynthesis" "714" "YMR134W" "S000004741" "ORF"
"SGM1" "MATCH" "1" "SGM1" "S. cerevisiae" "Slow growth on Galactose and Mannose" "2124" "YJR134C" "S000003895" "ORF"
"DAP1" "MATCH" "1" "DAP1" "S. cerevisiae" "DAmage resistance Protein" "459" "YPL170W" "S000006091" "ORF"
"SYS1" "MATCH" "1" "SYS1" "S. cerevisiae" "Suppressor of Ypt Six" "612" "YJL004C" "S000003541" "ORF"
"YCR043C" "MATCH" "1" "" "S. cerevisiae" "" "384" "YCR043C" "S000000639" "ORF"
"ICE2" "MATCH" "1" "ICE2" "S. cerevisiae" "Inheritance of Cortical ER" "1476" "YIL090W" "S000001352" "ORF"
"YDR476C" "MATCH" "1" "" "S. cerevisiae" "" "675" "YDR476C" "S000002884" "ORF"
"PLB3" "MATCH" "1" "PLB3" "S. cerevisiae" "PhosphoLipase B" "2061" "YOL011W" "S000005371" "ORF"
"PLB2" "MATCH" "1" "PLB2" "S. cerevisiae" "PhosphoLipase B" "2121" "YMR006C" "S000004608" "ORF"
"NCW1" "MATCH" "1" "NCW1" "S. cerevisiae" "Novel Cell Wall protein" "255" "YMR122W-A" "S000007524" "ORF"
"SRP14" "MATCH" "1" "SRP14" "S. cerevisiae" "Signal Recognition Particle" "441" "YDL092W" "S000002250" "ORF"
"ERG26" "MATCH" "1" "ERG26" "S. cerevisiae" "ERGosterol biosynthesis" "1050" "YGL001C" "S000002969" "ORF"
"OLE1" "MATCH" "1" "OLE1" "S. cerevisiae" "OLEic acid requiring" "1533" "YGL055W" "S000003023" "ORF"
"ERG27" "MATCH" "1" "ERG27" "S. cerevisiae" "ERGosterol biosynthesis" "1044" "YLR100W" "S000004090" "ORF"
"PLB1" "MATCH" "1" "PLB1" "S. cerevisiae" "PhosphoLipase B" "1995" "YMR008C" "S000004610" "ORF"
"ERG24" "MATCH" "1" "ERG24" "S. cerevisiae" "ERGosterol biosynthesis" "1317" "YNL280C" "S000005224" "ORF"
"ERO1" "MATCH" "1" "ERO1" "S. cerevisiae" "ER Oxidation or Endoplasmic Reticulum Oxidoreductin" "1692" "YML130C" "S000004599" "ORF"
"CNL1" "MATCH" "1" "CNL1" "S. cerevisiae" "CNo-Like" "369" "YDR357C" "S000002765" "ORF"
"ERG25" "MATCH" "1" "ERG25" "S. cerevisiae" "ERGosterol biosynthesis" "930" "YGR060W" "S000003292" "ORF"
"MGA2" "MATCH" "1" "MGA2" "S. cerevisiae" "Multicopy suppressor of GAm1 (snf2)" "3342" "YIR033W" "S000001472" "ORF"
"SHR3" "MATCH" "1" "SHR3" "S. cerevisiae" "Super high Histidine Resistant" "633" "YDL212W" "S000002371" "ORF"
"NCW2" "MATCH" "1" "NCW2" "S. cerevisiae" "Novel Cell Wall protein" "765" "YLR194C" "S000004184" "ORF"
"EMP24" "MATCH" "1" "EMP24" "S. cerevisiae" "EndoMembrane Protein" "612" "YGL200C" "S000003168" "ORF"
"SHR5" "MATCH" "1" "SHR5" "S. cerevisiae" "Suppressor of Hyperactive Ras" "714" "YOL110W" "S000005470" "ORF"
"MNN1" "MATCH" "1" "MNN1" "S. cerevisiae" "MaNNosyltransferase" "2289" "YER001W" "S000000803" "ORF"
"HAC1" "MATCH" "1" "HAC1" "S. cerevisiae" "Homologous to Atf/Creb1" "969" "YFL031W" "S000001863" "ORF"
"SLY41" "MATCH" "1" "SLY41" "S. cerevisiae" "Suppressor of Loss of Ypt1" "1362" "YOR307C" "S000005834" "ORF"
"TSC3" "MATCH" "1" "TSC3" "S. cerevisiae" "Temperature-sensitive Suppressors of Csg2 mutants" "243" "YBR058C-A" "S000007521" "ORF"
"ERG11" "MATCH" "1" "ERG11" "S. cerevisiae" "ERGosterol biosynthesis" "1593" "YHR007C" "S000001049" "ORF"
"ALG13" "MATCH" "1" "ALG13" "S. cerevisiae" "Asparagine-Linked Glycosylation" "609" "YGL047W" "S000003015" "ORF"
"ALG12" "MATCH" "1" "ALG12" "S. cerevisiae" "Asparagine-Linked Glycosylation" "1656" "YNR030W" "S000005313" "ORF"
"AGE1" "MATCH" "1" "AGE1" "S. cerevisiae" "Arf Gap with Effector function(s)" "1449" "YDR524C" "S000002932" "ORF"
"AGE2" "MATCH" "1" "AGE2" "S. cerevisiae" "ArfGAP Effector" "897" "YIL044C" "S000001306" "ORF"
"DPM1" "MATCH" "1" "DPM1" "S. cerevisiae" "Dolichol Phosphate Mannose synthase" "804" "YPR183W" "S000006387" "ORF"
"PBN1" "MATCH" "1" "PBN1" "S. cerevisiae" "Protease B Non-derepressible" "1251" "YCL052C" "S000000557" "ORF"
"RDL1" "MATCH" "1" "RDL1" "S. cerevisiae" "RhoDanese-Like protein" "420" "YOR285W" "S000005811" "ORF"
"TIP1" "MATCH" "1" "TIP1" "S. cerevisiae" "Temperature shock-Inducible Protein" "633" "YBR067C" "S000000271" "ORF"
"CYB5" "MATCH" "1" "CYB5" "S. cerevisiae" "CYtochrome B" "363" "YNL111C" "S000005055" "ORF"
"AQY2" "MATCH" "1" "AQY2" "S. cerevisiae" "AQuaporin from Yeast" "450" "YLL052C" "S000003975" "ORF"
"FMP52" "MATCH" "1" "FMP52" "S. cerevisiae" "Found in Mitochondrial Proteome" "696" "YER004W" "S000000806" "ORF"
"SAC1" "MATCH" "1" "SAC1" "S. cerevisiae" "Suppressor of ACtin" "1872" "YKL212W" "S000001695" "ORF"
"TGL3" "MATCH" "1" "TGL3" "S. cerevisiae" "TriacylGlycerol Lipase" "1929" "YMR313C" "S000004930" "ORF"
"TGL1" "MATCH" "1" "TGL1" "S. cerevisiae" "TriGlyceride Lipase" "1647" "YKL140W" "S000001623" "ORF"
"RTN2" "MATCH" "1" "RTN2" "S. cerevisiae" "ReTiculoN-like" "1182" "YDL204W" "S000002363" "ORF"
"RTN1" "MATCH" "1" "RTN1" "S. cerevisiae" "ReTiculoN-like" "888" "YDR233C" "S000002641" "ORF"
"SPC2" "MATCH" "1" "SPC2" "S. cerevisiae" "Signal Peptidase Complex" "537" "YML055W" "S000004519" "ORF"
"SPC3" "MATCH" "1" "SPC3" "S. cerevisiae" "Signal Peptidase Complex" "555" "YLR066W" "S000004056" "ORF"
"SPC1" "MATCH" "1" "SPC1" "S. cerevisiae" "Signal Peptidase Complex" "285" "YJR010C-A" "S000003770" "ORF"
"BIG1" "MATCH" "1" "BIG1" "S. cerevisiae" "Bad In Glucose" "1095" "YHR101C" "S000001143" "ORF"
"CPR5" "MATCH" "1" "CPR5" "S. cerevisiae" "Cyclosporin-sensitive Proline Rotamase" "678" "YDR304C" "S000002712" "ORF"
"SCJ1" "MATCH" "1" "SCJ1" "S. cerevisiae" "S. Cerevisiae DnaJ" "1134" "YMR214W" "S000004827" "ORF"
"RFS1" "MATCH" "1" "RFS1" "S. cerevisiae" "Rad55 (Fifty-five) Suppressor" "633" "YBR052C" "S000000256" "ORF"
"FMP45" "MATCH" "1" "FMP45" "S. cerevisiae" "Found in Mitochondrial Proteome" "930" "YDL222C" "S000002381" "ORF"
"IRE1" "MATCH" "1" "IRE1" "S. cerevisiae" "Inositol REquiring" "3348" "YHR079C" "S000001121" "ORF"
"YOP1" "MATCH" "1" "YOP1" "S. cerevisiae" "YIP One Partner" "676" "YPR028W" "S000006232" "ORF"
"SBH1" "MATCH" "1" "SBH1" "S. cerevisiae" "Sec61 beta homolog 1" "249" "YER087C-B" "S000002128" "ORF"
"SBH2" "MATCH" "1" "SBH2" "S. cerevisiae" "Sec61 beta homolog 2" "267" "YER019C-A" "S000002127" "ORF"
